id,file,percent,hp,time captured,time parsed,manual
flauros,Screenshot (295).png,99.86,2857.0,1545382760,1545389045.0,
forneus,Screenshot (296).png,99.9,2003.0,1545382763,1545389046.0,
barbatos,Screenshot (297).png,96.51,69719.0,1545382767,1545389047.0,
halphas,Screenshot (298).png,99.94,1285.0,1545382770,1545389048.0,
amon_ra,Screenshot (299).png,99.94,1107.0,1545382773,1545389050.0,
sabnock,Screenshot (300).png,99.93,1498.0,1545382776,1545389051.0,
flauros,Screenshot (301).png,99.86,2857.0,1545382780,1545389052.0,
forneus,Screenshot (302).png,99.9,2003.0,1545382784,1545389053.0,
flauros,Screenshot (303).png,99.85,3033.0,1545382893,1545389054.0,
forneus,Screenshot (304).png,99.89,2120.0,1545382895,1545389056.0,
barbatos,Screenshot (305).png,96.31,73757.0,1545382899,1545389057.0,
halphas,Screenshot (306).png,99.93,1357.0,1545382902,1545389058.0,
amon_ra,Screenshot (307).png,99.94,1184.0,1545382906,1545389060.0,
sabnock,Screenshot (308).png,99.92,1603.0,1545382909,1545389061.0,
flauros,Screenshot (309).png,99.85,3033.0,1545382913,1545389062.0,
forneus,Screenshot (310).png,99.89,2120.0,1545382916,1545389065.0,
flauros,Screenshot (311).png,99.84,3185.0,1545383025,1545389066.0,
forneus,Screenshot (312).png,99.89,2243.0,1545383028,1545389068.0,
barbatos,Screenshot (313).png,96.11,77810.0,1545383031,1545389069.0,
halphas,Screenshot (314).png,99.93,1435.0,1545383034,1545389074.0,
amon_ra,Screenshot (315).png,99.94,1239.0,1545383038,1545389080.0,
sabnock,Screenshot (316).png,99.91,1702.0,1545383041,1545389090.0,
flauros,Screenshot (317).png,99.84,3185.0,1545383045,1545389091.0,
forneus,Screenshot (318).png,99.89,2243.0,1545383049,1545389092.0,
flauros,Screenshot (319).png,99.83,3345.0,1545383157,1545389093.0,
forneus,Screenshot (320).png,99.88,2360.0,1545383160,1545389096.0,
barbatos,Screenshot (321).png,95.92,81615.0,1545383164,1545389097.0,
halphas,Screenshot (322).png,99.92,1519.0,1545383167,1545389098.0,
amon_ra,Screenshot (323).png,99.93,1305.0,1545383171,1545389100.0,
sabnock,Screenshot (324).png,99.91,1793.0,1545383174,1545389101.0,
flauros,Screenshot (325).png,99.83,3345.0,1545383177,1545389102.0,
forneus,Screenshot (326).png,99.88,2360.0,1545383181,1545389103.0,
